Transaction_ID,Gender,Age_Group,City,Membership_Type,Product_Category,Payment_Method,Quantity,Unit_Price,Total_Sales,Satisfaction_Rating
TXN001,Female,18-25,Lahore,Gold,Electronics,Card,2,550,1100,5
TXN002,Female,26-35,Karachi,Silver,Clothing,Cash,3,45,135,4
TXN003,Female,36-45,Islamabad,Bronze,Groceries,Easypaisa,5,22,110,3
TXN004,Female,18-25,Lahore,Gold,Cosmetics,Card,2,80,160,5
TXN005,Male,46-55,Faisalabad,Silver,Home Decor,Cash,1,320,320,4
TXN006,Female,26-35,Multan,Gold,Electronics,Card,1,900,900,5
TXN007,Male,18-25,Karachi,Bronze,Clothing,JazzCash,4,35,140,3
TXN008,Female,36-45,Lahore,Silver,Groceries,Cash,8,18,144,4
TXN009,Male,26-35,Islamabad,Gold,Electronics,Card,2,700,1400,5
TXN010,Female,18-25,Faisalabad,Bronze,Cosmetics,Easypaisa,3,65,195,4
TXN011,Male,56+,Lahore,Silver,Home Decor,Cash,2,250,500,4
TXN012,Female,26-35,Karachi,Gold,Electronics,Card,1,1200,1200,5
TXN013,Male,36-45,Multan,Bronze,Groceries,JazzCash,6,20,120,3
TXN014,Female,46-55,Islamabad,Silver,Clothing,Cash,2,55,110,4
TXN015,Female,18-25,Lahore,Gold,Electronics,Card,3,450,1350,5
TXN016,Female,26-35,Faisalabad,Silver,Cosmetics,Easypaisa,1,95,95,4
TXN017,Male,36-45,Karachi,Bronze,Home Decor,Cash,1,400,400,3
TXN018,Female,18-25,Multan,Gold,Groceries,Card,10,15,150,5
TXN019,Female,26-35,Islamabad,Silver,Electronics,JazzCash,1,800,800,4
TXN020,Female,36-45,Lahore,Bronze,Clothing,Cash,5,40,200,3
TXN021,Male,46-55,Karachi,Gold,Electronics,Card,2,650,1300,5
TXN022,Female,18-25,Faisalabad,Silver,Cosmetics,Easypaisa,4,70,280,4
TXN023,Male,26-35,Multan,Bronze,Groceries,Cash,7,25,175,3
TXN024,Female,36-45,Islamabad,Gold,Home Decor,Card,2,300,600,5
TXN025,Female,18-25,Lahore,Silver,Clothing,JazzCash,3,50,150,4
TXN026,Female,26-35,Karachi,Bronze,Groceries,Cash,9,17,153,3
TXN027,Male,36-45,Faisalabad,Gold,Electronics,Card,1,1000,1000,5
TXN028,Female,46-55,Multan,Silver,Home Decor,Easypaisa,2,275,550,4
TXN029,Male,26-35,Islamabad,Bronze,Cosmetics,Cash,3,60,180,3
